ObjID,ra,dec,u,g,r,i,z
1237666299433586871,300.01814413,-1.01372106,26.692884,22.195564,20.783054,20.174479,19.902275
1237666299433586872,300.01898042,-1.01339725,23.75808,23.853394,21.728676,21.361979,21.237612
1237666299433586879,300.02077796,-0.99905158,24.132412,24.677822,21.487091,20.766867,20.709644
1237666299433586882,300.02219835,-1.00254048,25.596033,25.467918,22.220638,21.067217,20.292263
1237666299433586887,300.02109541,-0.99612752,24.951544,22.336737,21.096836,20.204302,19.725527
1237666299433586888,300.0227117,-0.99727604,24.160528,22.90556,21.07618,20.410341,20.1248
1237666299433586897,300.02511671,-0.99307816,26.543716,23.600849,21.737896,21.247921,21.229065
1237666299433586902,300.0275671,-1.00401703,24.597157,24.084944,21.803461,20.95989,20.892782
1237666299433587260,299.97736946,-1.00704956,25.171291,24.241686,23.582476,21.645618,21.570068
1237666299433587261,299.97827053,-0.99714826,24.828024,24.131769,22.922674,21.818607,21.778
1237666299433587284,299.99322591,-0.98180484,25.231016,26.107443,22.628761,21.254719,20.455519
1237666299433587285,299.99213945,-0.98088669,25.340637,24.901871,23.398483,21.897116,22.614351
1237666299433587299,300.00336211,-0.97242857,25.4708,24.563927,22.560816,21.587282,21.170883
1237666299433587323,300.01629522,-0.97733667,24.927794,23.478382,22.435873,21.374434,20.579329
1237666299433587335,300.02341938,-0.98926833,23.664635,24.58954,22.579969,21.044941,20.06632
1237666299433587338,300.02517083,-0.99636182,23.782555,23.272453,22.48105,21.161264,20.833746
1237666299433517969,299.96910943,-0.99289926,16.843742,14.880617,14.498934,13.365563,13.162932
1237666299433517971,299.96734771,-0.99502319,20.204731,18.53484,17.677858,17.342081,17.184433
1237666299433517972,299.96917557,-0.99660814,21.953461,19.827902,21.395571,21.007908,22.829144
1237666299433517973,299.96957203,-0.99143492,19.494541,18.493162,17.225775,16.608158,16.662821
1237666299433517974,299.96863865,-0.9957207,23.264259,25.114916,24.801901,24.361767,19.182184
